"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1325,kt89_Vartius,2020/04/02,1,"11 HA-PA",,,,,,,1,4,2,3,2,3,1,1,1,,3,2,4,2,1,2,,
1325,kt89_Vartius,2020/04/02,1,"12 KAIP",,,,,,,,,,,,,,,,1,,,1,1,,,,
1325,kt89_Vartius,2020/04/02,1,"14 KAPP",,,,,,,,,,1,1,1,1,,,1,3,1,3,5,1,,,
1325,kt89_Vartius,2020/04/02,1,"15 KATP",,,,,,,,,,1,,,,,,,2,3,4,3,,,1,
1325,kt89_Vartius,2020/04/02,1,"16 HA + PK",,,,,,,,,1,1,,,,,,,,,,,,,,
1325,kt89_Vartius,2020/04/02,1,"17 HA + AV",,,,,,,1,,,,,,,,,,,1,,1,,,,
1325,kt89_Vartius,2020/04/02,2,"11 HA-PA",,,,,1,1,,,1,1,,2,1,4,2,1,1,2,1,5,2,7,1,
1325,kt89_Vartius,2020/04/02,2,"12 KAIP",,,,,,,,,,1,1,,,,,,,1,,,,,,
1325,kt89_Vartius,2020/04/02,2,"13 Linja-autot",,,,,,,,,,,,,,1,,,,,,,,,,
1325,kt89_Vartius,2020/04/02,2,"14 KAPP",,,,,,,,,2,2,,3,1,1,2,,,3,2,,3,,,
1325,kt89_Vartius,2020/04/02,2,"15 KATP",,,,,,,,,,1,4,2,1,,2,,1,1,1,,,1,,
1325,kt89_Vartius,2020/04/02,2,"16 HA + PK",,,,,,,,,,1,,,,,,,,,,,,,,
1325,kt89_Vartius,2020/04/02,2,"17 HA + AV",,,,,,,,,1,1,,,,,,,,,,,,,,
1325,kt89_Vartius,2020/04/03,1,"11 HA-PA",1,,,,1,,3,3,1,1,3,2,2,1,2,3,5,1,1,,2,2,,
1325,kt89_Vartius,2020/04/03,1,"12 KAIP",,,,,,,,,,,2,,,,,2,,1,1,,,,,
1325,kt89_Vartius,2020/04/03,1,"14 KAPP",,,,,,,,2,,2,4,1,,1,2,1,1,,4,,1,,,
1325,kt89_Vartius,2020/04/03,1,"15 KATP",,,,,,,,1,,1,1,1,,,2,2,2,5,2,1,2,,,
1325,kt89_Vartius,2020/04/03,1,"17 HA + AV",,,,,,,,,1,,,,,1,,,,,,,2,,,
1325,kt89_Vartius,2020/04/03,2,"11 HA-PA",,,,,1,,1,1,1,2,,,1,3,1,3,,4,,1,,2,,
1325,kt89_Vartius,2020/04/03,2,"12 KAIP",,,,,,,,,,,,2,,,,,2,,1,,,,,
1325,kt89_Vartius,2020/04/03,2,"14 KAPP",,,,,,,,,2,2,3,1,3,2,2,1,2,1,1,,2,,,
1325,kt89_Vartius,2020/04/03,2,"15 KATP",,,,,,,,,1,2,,1,1,1,1,,1,1,,1,1,,,
1325,kt89_Vartius,2020/04/03,2,"16 HA + PK",,,,,,,,,,,,,,,,1,,,,,,,,
1325,kt89_Vartius,2020/04/03,2,"17 HA + AV",,,,,,,,,,,,1,,,,,,,,,,,,
1325,kt89_Vartius,2020/04/04,1,"11 HA-PA",,,,,,,,1,2,2,2,5,,2,,,1,1,3,,,3,,
1325,kt89_Vartius,2020/04/04,1,"12 KAIP",,,,,,,,1,,,1,,,,,,1,,,,1,,,
1325,kt89_Vartius,2020/04/04,1,"14 KAPP",,1,,,,,,,,,,,,,,1,,1,,2,1,,,
1325,kt89_Vartius,2020/04/04,1,"15 KATP",,,,,,,,,2,,,1,,,,,1,,,1,,1,1,
1325,kt89_Vartius,2020/04/04,1,"16 HA + PK",,,,,,,,,,,,,,,2,,,,,,,,,
1325,kt89_Vartius,2020/04/04,1,"17 HA + AV",,,,,,,,,,,,,,1,,,,,,1,,,,
1325,kt89_Vartius,2020/04/04,2,"11 HA-PA",,,,,,1,,,1,,,1,3,,,,1,,3,3,,1,,
1325,kt89_Vartius,2020/04/04,2,"12 KAIP",,,,,,,,,1,1,,,,,1,,1,,,,,1,,
1325,kt89_Vartius,2020/04/04,2,"13 Linja-autot",,,,,,,,,,1,,,,,,,,,,,,,,
1325,kt89_Vartius,2020/04/04,2,"14 KAPP",,,,,,,,,2,3,1,2,,,,,1,,1,,,,,
1325,kt89_Vartius,2020/04/04,2,"15 KATP",,,1,,,,,,1,1,1,,1,,,1,,1,,,1,,1,
1325,kt89_Vartius,2020/04/04,2,"16 HA + PK",,,,,,,,,,,,,,,,,2,,,,,,,
1325,kt89_Vartius,2020/04/05,1,"11 HA-PA",,,,,,,,1,,2,,1,1,,,,1,2,,2,,1,,
1325,kt89_Vartius,2020/04/05,1,"12 KAIP",,,,,,,,,,,,1,1,1,,,,,,,,,,
1325,kt89_Vartius,2020/04/05,1,"14 KAPP",,,,,,,,2,,,1,,,,,1,1,1,1,,,,,
1325,kt89_Vartius,2020/04/05,1,"15 KATP",,,,,,,,,,,,,1,,,1,,,,,,,,
1325,kt89_Vartius,2020/04/05,1,"16 HA + PK",,,,,,,,,,,,,,,1,,,,1,,,,,
1325,kt89_Vartius,2020/04/05,2,"11 HA-PA",,,,,,,,,,1,2,,1,,2,1,2,1,3,,,9,,
1325,kt89_Vartius,2020/04/05,2,"12 KAIP",,,,,,,,,,,,,,1,,,,,,,,,,
1325,kt89_Vartius,2020/04/05,2,"13 Linja-autot",,,,,,,,,,,,,,,,,,1,,,,,,
1325,kt89_Vartius,2020/04/05,2,"14 KAPP",,,,,,,,,1,2,2,1,2,,,,3,,1,,1,,,
1325,kt89_Vartius,2020/04/05,2,"15 KATP",,,,,,,,,,,1,2,1,,2,,,,,,,2,,
1325,kt89_Vartius,2020/04/05,2,"16 HA + PK",,,,1,,,,,,,,,,,,,,,1,,,,,
1325,kt89_Vartius,2020/04/06,1,"11 HA-PA",,,,,1,,10,6,2,2,2,1,2,1,1,1,5,,,3,,,,
1325,kt89_Vartius,2020/04/06,1,"12 KAIP",,,,,,,,,1,,,,,,,,,2,,,,,,
1325,kt89_Vartius,2020/04/06,1,"14 KAPP",,,,,,,,,3,1,,1,,,,2,,,2,1,1,2,3,
1325,kt89_Vartius,2020/04/06,1,"15 KATP",,,,,,,1,1,2,,2,,1,,1,,1,,3,3,2,,2,
1325,kt89_Vartius,2020/04/06,1,"16 HA + PK",,,,,,,,,,,,,,,,,1,1,,,,,,
1325,kt89_Vartius,2020/04/06,1,"17 HA + AV",,,,,,,,,,1,,,,,,,,,,,,,,
1325,kt89_Vartius,2020/04/06,2,"11 HA-PA",,,,,,1,,,1,3,3,,1,3,2,,,,2,,1,5,,
1325,kt89_Vartius,2020/04/06,2,"12 KAIP",,,,,,,,,,,,,,,,,1,,1,,,,,
1325,kt89_Vartius,2020/04/06,2,"13 Linja-autot",,,,,,,,,,,,,,,,,,1,1,,,,,
1325,kt89_Vartius,2020/04/06,2,"14 KAPP",,,,,,,,,,4,2,2,,2,2,1,3,2,2,2,,,,
1325,kt89_Vartius,2020/04/06,2,"15 KATP",,,1,,,,,,,1,1,3,4,1,2,,,3,,1,1,,,1
1325,kt89_Vartius,2020/04/06,2,"16 HA + PK",,,,,,,,,,,1,,,,,,,,,,,,,
1325,kt89_Vartius,2020/04/06,2,"17 HA + AV",,,,,,,,,,1,1,,,,,,,,1,,,,,
1325,kt89_Vartius,2020/04/07,1,"11 HA-PA",,,,,1,,2,6,,2,1,1,2,3,3,3,2,1,1,,1,1,1,
1325,kt89_Vartius,2020/04/07,1,"12 KAIP",,,,,,,,,,,,,,,,,1,,,,,,,
1325,kt89_Vartius,2020/04/07,1,"14 KAPP",,,,,,,,3,1,1,1,1,2,,2,1,1,1,,,1,1,1,
1325,kt89_Vartius,2020/04/07,1,"15 KATP",1,,,,,,1,,1,2,1,,2,2,,3,,2,2,3,1,,,
1325,kt89_Vartius,2020/04/07,1,"16 HA + PK",,,,,,,1,,,,,,,,,,,,,,,,,
1325,kt89_Vartius,2020/04/07,1,"17 HA + AV",,,,,,,,,,,,,1,,,,,,,,,,,
1325,kt89_Vartius,2020/04/07,2,"11 HA-PA",,,,,,,,2,2,1,2,1,2,1,3,,1,1,1,1,2,4,,
1325,kt89_Vartius,2020/04/07,2,"12 KAIP",,,,,,,,,,,,,,,,,,,1,,,,,
1325,kt89_Vartius,2020/04/07,2,"13 Linja-autot",,,,,,,,,,,,1,,,,,,,,,,,,
1325,kt89_Vartius,2020/04/07,2,"14 KAPP",,,,,,1,,,2,4,3,1,1,,,3,,3,5,1,1,,,
1325,kt89_Vartius,2020/04/07,2,"15 KATP",,,,,,,,,,3,1,1,,2,1,,2,1,1,1,,,,
1325,kt89_Vartius,2020/04/07,2,"17 HA + AV",,,,,,,,,,,,,,,,,,,,1,,,,
1325,kt89_Vartius,2020/04/08,1,"11 HA-PA",,,,,1,1,2,5,1,1,1,3,1,3,2,1,,2,3,1,1,1,1,
1325,kt89_Vartius,2020/04/08,1,"12 KAIP",,,,,,,,,,,,,1,,,,1,,,,,,,
1325,kt89_Vartius,2020/04/08,1,"14 KAPP",,,,,,,,1,1,4,,,3,,,1,2,2,,1,2,1,,
1325,kt89_Vartius,2020/04/08,1,"15 KATP",,,,,,,,,,,2,,1,,,1,2,2,3,1,1,2,,
1325,kt89_Vartius,2020/04/08,1,"16 HA + PK",,,,,,,1,,,,,,,,,1,,,,,,,,
1325,kt89_Vartius,2020/04/08,1,"17 HA + AV",,,,,,,,,,2,,1,,,,,,,,,,,,
1325,kt89_Vartius,2020/04/08,2,"11 HA-PA",,,,,,1,,,2,2,,2,2,2,1,3,3,1,3,3,2,4,,
1325,kt89_Vartius,2020/04/08,2,"12 KAIP",,,,,,,,,,,,,,1,,,,1,,,,,,
1325,kt89_Vartius,2020/04/08,2,"13 Linja-autot",,,,,,,,,,,,,,,,,,,,,,1,,
1325,kt89_Vartius,2020/04/08,2,"14 KAPP",,,,,,,,,,3,1,4,2,2,2,1,1,,,,2,,,
1325,kt89_Vartius,2020/04/08,2,"15 KATP",,,,,,,,,,1,1,,,,2,1,1,1,,2,1,,1,
1325,kt89_Vartius,2020/04/08,2,"16 HA + PK",,,,,,,,1,,,,,,,1,,,,,,,,,
1325,kt89_Vartius,2020/04/08,2,"17 HA + AV",,,,,,,,,,,1,,1,,,,,,,,,,,
1325,kt89_Vartius,2020/04/09,1,"11 HA-PA",,,,,,1,1,5,2,1,1,2,2,2,2,1,5,1,2,7,4,3,2,2
1325,kt89_Vartius,2020/04/09,1,"12 KAIP",,,,,,,,,,,1,1,1,,1,1,,,,1,,,,
1325,kt89_Vartius,2020/04/09,1,"14 KAPP",,,,,,,,1,1,2,1,1,2,1,2,,3,4,3,1,1,2,,
1325,kt89_Vartius,2020/04/09,1,"15 KATP",,,,,1,,,,,1,,1,3,1,,2,,2,3,1,1,1,,
1325,kt89_Vartius,2020/04/09,1,"16 HA + PK",,,,,,,,,,,,,,1,,1,,1,,,,,,
1325,kt89_Vartius,2020/04/09,2,"11 HA-PA",,,,,,,,,1,1,2,1,3,2,1,1,3,,1,2,4,9,3,1
1325,kt89_Vartius,2020/04/09,2,"12 KAIP",,,,,,,,,,,,2,,2,,,1,,,1,,,,
1325,kt89_Vartius,2020/04/09,2,"14 KAPP",,,,,,,,,,2,1,4,1,2,1,2,4,3,,2,2,,,
1325,kt89_Vartius,2020/04/09,2,"15 KATP",,,,,,,,,1,1,3,,2,1,2,2,,,,1,,,,
1325,kt89_Vartius,2020/04/09,2,"17 HA + AV",,,,,,,,,,,,1,,1,,,,,,,,,,
1325,kt89_Vartius,2020/04/10,1,"11 HA-PA",,,,,,1,1,5,2,1,,1,1,5,1,1,,,1,2,1,,,
1325,kt89_Vartius,2020/04/10,1,"12 KAIP",,,,,,,,,1,,,,,,,,,,,1,,,,
1325,kt89_Vartius,2020/04/10,1,"14 KAPP",,,,,,,,4,1,,,,,,1,2,4,2,,4,2,2,1,
1325,kt89_Vartius,2020/04/10,1,"15 KATP",2,,,,,,,,1,,,1,,1,,1,,1,,,2,,,
1325,kt89_Vartius,2020/04/10,1,"16 HA + PK",,,,,,,,,1,1,,,1,,,,,,1,,,,,
1325,kt89_Vartius,2020/04/10,1,"17 HA + AV",,,,,,,,,,,,,,,,,,1,,,,,,
1325,kt89_Vartius,2020/04/10,2,"11 HA-PA",,,,,,1,,,,2,,1,4,2,4,,,2,,,,3,,
1325,kt89_Vartius,2020/04/10,2,"12 KAIP",,,,,,,,,1,,,,,,,,,,,,,,,
1325,kt89_Vartius,2020/04/10,2,"14 KAPP",,,,,,,,,,2,2,3,2,3,,,,,2,2,,2,,
1325,kt89_Vartius,2020/04/10,2,"15 KATP",,,,,,,,1,,,,,1,,,1,,,,1,,,,
1325,kt89_Vartius,2020/04/10,2,"16 HA + PK",,,,,,,,,,,,1,,,,,,,,,,,,
1325,kt89_Vartius,2020/04/10,2,"17 HA + AV",,,,,,,,1,,1,,,,,,,,,,,,,,
1325,kt89_Vartius,2020/04/11,1,"11 HA-PA",,,,,,,1,2,,3,1,,,1,4,,1,1,1,,2,,,
1325,kt89_Vartius,2020/04/11,1,"12 KAIP",,,,,,,,,,,,,,,,1,,1,1,,,,,
1325,kt89_Vartius,2020/04/11,1,"14 KAPP",,,,,,,,,1,,,,,3,,,2,2,,2,,,,
1325,kt89_Vartius,2020/04/11,1,"15 KATP",,,,,,,,,,,,,1,,2,1,,,2,,,,,
1325,kt89_Vartius,2020/04/11,1,"16 HA + PK",,,,,,,1,,,1,1,,,,,,,,1,,,,,
1325,kt89_Vartius,2020/04/11,1,"17 HA + AV",,,,,,,,,1,,,,,,,,,,,,,,,
1325,kt89_Vartius,2020/04/11,2,"11 HA-PA",,,,,,,1,,,1,1,,,2,2,,1,5,,,,2,,
1325,kt89_Vartius,2020/04/11,2,"14 KAPP",,,,,,,,,1,1,3,1,1,,1,,2,,,,,,,
1325,kt89_Vartius,2020/04/11,2,"15 KATP",,1,1,,,,,1,1,1,2,,1,1,,1,,,,1,,1,,
1325,kt89_Vartius,2020/04/11,2,"16 HA + PK",,,,,,,,,1,,,,,1,,1,,,,1,,,,
1325,kt89_Vartius,2020/04/12,1,"11 HA-PA",,,,,,,,2,,1,3,,,1,2,,,,1,2,,1,1,
1325,kt89_Vartius,2020/04/12,1,"12 KAIP",,,,,,,,,,,,1,,,,,,,,,,,,
1325,kt89_Vartius,2020/04/12,1,"14 KAPP",,,,,,,,1,,3,,3,,,1,1,1,3,,,,,,
1325,kt89_Vartius,2020/04/12,1,"15 KATP",,,,,,1,,,,,,1,,1,,,2,,,,1,1,,
1325,kt89_Vartius,2020/04/12,1,"16 HA + PK",,,,,,,,,1,,,,,,,,,,,1,,,,
1325,kt89_Vartius,2020/04/12,1,"17 HA + AV",,,,,,,,,,,1,,,,,,,,,,,,,
1325,kt89_Vartius,2020/04/12,2,"11 HA-PA",,,,,,,,,,2,1,,,2,6,2,2,1,1,1,,12,,
1325,kt89_Vartius,2020/04/12,2,"12 KAIP",,,,,,,,,,,,,,,,,,1,,,,,,
1325,kt89_Vartius,2020/04/12,2,"14 KAPP",,,,,,,,1,1,1,1,,,,1,1,,3,1,,2,1,,
1325,kt89_Vartius,2020/04/12,2,"15 KATP",,,,,,,1,1,,,,,1,,,1,,1,,,,,,
1325,kt89_Vartius,2020/04/12,2,"16 HA + PK",,,,,,,,,,,,1,,,,,,,,,,,,
1325,kt89_Vartius,2020/04/12,2,"17 HA + AV",,,,,,,,,,1,,1,,,,,,,,,,,,
1325,kt89_Vartius,2020/04/13,1,"11 HA-PA",,,,,,,4,1,,2,,2,1,3,,1,1,1,3,1,2,,,
1325,kt89_Vartius,2020/04/13,1,"12 KAIP",,,,,,,1,,,2,,,,1,,,1,,,,,,,
1325,kt89_Vartius,2020/04/13,1,"14 KAPP",,,,,,,,,1,,1,1,,1,1,,1,2,,1,1,,1,
1325,kt89_Vartius,2020/04/13,1,"15 KATP",,,,,,,2,,,,,,,1,,,2,,,1,,,1,
1325,kt89_Vartius,2020/04/13,2,"11 HA-PA",,,,,,1,1,1,2,2,1,1,2,1,2,2,2,,2,,1,1,1,
1325,kt89_Vartius,2020/04/13,2,"12 KAIP",,,,,,,2,,,1,,,,,,,1,,,,,,,
1325,kt89_Vartius,2020/04/13,2,"13 Linja-autot",,,,,,,,,,,,,1,,,,,,,,,,,
1325,kt89_Vartius,2020/04/13,2,"14 KAPP",,,,,,,,,,2,3,6,3,1,1,,1,,3,,1,,,
1325,kt89_Vartius,2020/04/13,2,"15 KATP",,,,,1,,,1,,,2,,,,,,1,,,,,,1,
1325,kt89_Vartius,2020/04/14,1,"11 HA-PA",,,,,1,,2,2,1,2,,2,4,2,,1,1,2,3,2,2,,,
1325,kt89_Vartius,2020/04/14,1,"12 KAIP",,,,,,,,,,1,1,,,,,,,,,,,,,
1325,kt89_Vartius,2020/04/14,1,"13 Linja-autot",,,,,,,,,,,,,,,,1,,,,,,,,
1325,kt89_Vartius,2020/04/14,1,"14 KAPP",,,,,,,,1,2,1,,,1,1,3,,1,1,1,2,4,,,1
1325,kt89_Vartius,2020/04/14,1,"15 KATP",,,,2,,,,,,2,,1,1,2,,2,,2,4,1,2,,,1
1325,kt89_Vartius,2020/04/14,1,"16 HA + PK",,,,,,,,,2,,,,,,1,1,,,,,,,,
1325,kt89_Vartius,2020/04/14,1,"17 HA + AV",,,,,,,,,,,,1,,1,,,,1,1,,,,,
1325,kt89_Vartius,2020/04/14,2,"11 HA-PA",,,,,,1,,2,,,1,2,3,1,5,2,1,2,2,1,1,1,,
1325,kt89_Vartius,2020/04/14,2,"12 KAIP",,,,,,,,,,1,,,,,1,,,,,,,,,
1325,kt89_Vartius,2020/04/14,2,"13 Linja-autot",,,,,,,,,,,,,,,,,,,,,,1,,
1325,kt89_Vartius,2020/04/14,2,"14 KAPP",,,,,,,,,1,,1,3,4,,4,,,2,1,1,1,,,
1325,kt89_Vartius,2020/04/14,2,"15 KATP",,,,,,,,,1,,,2,3,2,1,2,3,,,1,,1,,
1325,kt89_Vartius,2020/04/14,2,"16 HA + PK",,,,,,,,,,,,1,,,,,,,,,,,,
1325,kt89_Vartius,2020/04/14,2,"17 HA + AV",,,,,,,,,,,,,,1,,,,,,,,,,
1325,kt89_Vartius,2020/04/15,1,"11 HA-PA",,,,,2,1,,3,5,4,2,,2,3,,1,5,1,1,2,1,,,
1325,kt89_Vartius,2020/04/15,1,"12 KAIP",,,,1,,,,1,2,,,,,,,,1,,,,,,,
1325,kt89_Vartius,2020/04/15,1,"13 Linja-autot",,,,,,,,,,,,,,,,1,,,,,,,,
1325,kt89_Vartius,2020/04/15,1,"14 KAPP",,,,,,,,,4,,1,,,4,,1,1,,4,,2,,,
1325,kt89_Vartius,2020/04/15,1,"15 KATP",,,,1,1,3,,1,1,1,1,,1,,2,,2,5,3,,,1,,
1325,kt89_Vartius,2020/04/15,1,"16 HA + PK",,,,,,,,,,,,,1,,,1,,,,,,1,,
1325,kt89_Vartius,2020/04/15,1,"17 HA + AV",,,,,,,,,,,,,1,,1,,,,1,1,,,,
1325,kt89_Vartius,2020/04/15,2,"11 HA-PA",,,,1,,1,1,,2,4,2,,1,3,3,,1,5,,2,,1,,1
1325,kt89_Vartius,2020/04/15,2,"12 KAIP",,,,,,,,,,3,,,,,,1,,,1,,,,,
1325,kt89_Vartius,2020/04/15,2,"13 Linja-autot",,,,,,,,,,,,,,,1,,,,,,,,,
1325,kt89_Vartius,2020/04/15,2,"14 KAPP",,,,,,,,,,4,3,1,3,4,,,2,1,,2,1,,,
1325,kt89_Vartius,2020/04/15,2,"15 KATP",,,,,,,2,1,,1,2,2,2,1,2,3,3,1,2,1,4,1,,
1325,kt89_Vartius,2020/04/15,2,"16 HA + PK",,,,,,,,,,1,,1,,,1,,,,,,,,,
1325,kt89_Vartius,2020/04/15,2,"17 HA + AV",,,,,,,,,,1,,,,,,,,,,,,,,
1325,kt89_Vartius,2020/04/16,1,"11 HA-PA",,,,,2,,2,2,1,1,1,2,1,2,,1,3,2,1,1,3,1,1,
1325,kt89_Vartius,2020/04/16,1,"12 KAIP",,,,,,,,1,1,,,,,,,,,,,,,,,
1325,kt89_Vartius,2020/04/16,1,"14 KAPP",,1,,,,,,,,1,2,1,,,3,4,2,3,1,2,1,,,
1325,kt89_Vartius,2020/04/16,1,"15 KATP",,1,,,1,,,1,2,1,3,1,,5,2,2,1,,2,1,,1,,1
1325,kt89_Vartius,2020/04/16,1,"16 HA + PK",,,,,,,,,,2,,,,1,,,,,,,,,,
1325,kt89_Vartius,2020/04/16,1,"17 HA + AV",,,1,,,,,,1,,,,,,,,,,1,,,,,
1325,kt89_Vartius,2020/04/16,2,"11 HA-PA",,,,,,2,,,,1,1,1,2,2,2,5,1,1,2,1,3,3,1,
1325,kt89_Vartius,2020/04/16,2,"12 KAIP",,,,,,,,,,1,,,1,1,,,1,,,,,,,
1325,kt89_Vartius,2020/04/16,2,"13 Linja-autot",,,,,,,,,,,,,1,,,,,,,1,,,,
1325,kt89_Vartius,2020/04/16,2,"14 KAPP",,,,,,,,,3,2,2,2,1,1,3,2,2,2,4,2,,4,,
1325,kt89_Vartius,2020/04/16,2,"15 KATP",,,1,,,,,1,,1,1,,2,1,2,1,1,1,,,4,,1,
1325,kt89_Vartius,2020/04/16,2,"16 HA + PK",,,,,,,,,,,,,,1,,,,,,,,,,
1325,kt89_Vartius,2020/04/16,2,"17 HA + AV",,,,,,,,,,1,,,,,,,,,,,,,,
1325,kt89_Vartius,2020/04/17,1,"11 HA-PA",1,,,,2,,9,7,1,3,,2,1,2,1,1,2,1,1,2,1,,,1
1325,kt89_Vartius,2020/04/17,1,"12 KAIP",,,,,,,,,,,2,2,1,,,,,1,,1,1,,,1
1325,kt89_Vartius,2020/04/17,1,"13 Linja-autot",,,,,,,,1,,,,,,,,,,,,,,,,
1325,kt89_Vartius,2020/04/17,1,"14 KAPP",,1,,,,,,1,,,,1,,2,3,2,1,1,5,4,3,,1,
1325,kt89_Vartius,2020/04/17,1,"15 KATP",,,,,,,4,1,,3,3,1,,2,2,1,1,1,3,,,,,1
1325,kt89_Vartius,2020/04/17,1,"16 HA + PK",,,,,,,2,1,,,1,1,,,,,1,,,,,,,
1325,kt89_Vartius,2020/04/17,1,"17 HA + AV",,,1,,,,,,,,,,,,,,,,,,,,,
1325,kt89_Vartius,2020/04/17,2,"11 HA-PA",,,,,,1,1,2,1,2,4,1,1,1,1,1,,1,1,2,,4,1,
1325,kt89_Vartius,2020/04/17,2,"12 KAIP",,,,,,,,,,,,,1,3,1,,,,,,,,,
1325,kt89_Vartius,2020/04/17,2,"14 KAPP",,,,,,,,,2,3,2,1,5,2,1,,,4,1,2,1,1,,
1325,kt89_Vartius,2020/04/17,2,"15 KATP",,,,1,1,,,,1,,,2,,1,,1,,,,,1,2,,
1325,kt89_Vartius,2020/04/17,2,"16 HA + PK",,,,,,,,1,,,,,1,1,,,,,,,,,,
1325,kt89_Vartius,2020/04/17,2,"17 HA + AV",,,,,,,,,,,,2,,,,,,,1,,,,,
1325,kt89_Vartius,2020/04/18,1,"11 HA-PA",,,,,,,1,5,1,1,1,,3,1,1,,,1,3,1,,,,
1325,kt89_Vartius,2020/04/18,1,"12 KAIP",,,,,,,,,,1,1,,,1,,,,,1,,,,,
1325,kt89_Vartius,2020/04/18,1,"14 KAPP",,,,,,,,,,1,,,1,3,1,,1,,1,4,3,,,
1325,kt89_Vartius,2020/04/18,1,"15 KATP",,,,1,,,,1,1,,1,,,2,,,,,2,1,,2,1,
1325,kt89_Vartius,2020/04/18,1,"16 HA + PK",,,,,,,,,,,,,,,1,,,,,,,,,
1325,kt89_Vartius,2020/04/18,1,"17 HA + AV",,,,,,,,,,1,,,1,,,1,,,,,,,,
1325,kt89_Vartius,2020/04/18,2,"11 HA-PA",,,,,,,,,2,,,,,2,,3,1,,3,2,,4,,
1325,kt89_Vartius,2020/04/18,2,"12 KAIP",,,,,,,,,1,,,,,1,,,2,,,,,,,
1325,kt89_Vartius,2020/04/18,2,"13 Linja-autot",,,,,,,,,,,,,,,,1,,,,,,,,
1325,kt89_Vartius,2020/04/18,2,"14 KAPP",,,,,,,,,,2,2,1,3,2,,5,1,1,1,,1,2,,
1325,kt89_Vartius,2020/04/18,2,"15 KATP",,1,,,,,,1,1,,2,,1,,1,,,1,,,,1,,1
1325,kt89_Vartius,2020/04/18,2,"16 HA + PK",,,,,,1,,,,,,,,,,,,,,,,,,
1325,kt89_Vartius,2020/04/18,2,"17 HA + AV",,,,,,,,1,,1,,,,,,,,,,,,,,
1325,kt89_Vartius,2020/04/19,1,"11 HA-PA",,,,,,,1,3,1,1,1,1,,3,2,1,,1,2,4,,1,,
1325,kt89_Vartius,2020/04/19,1,"12 KAIP",,,,,,,,,,,,,1,,2,,,,,,,,,
1325,kt89_Vartius,2020/04/19,1,"14 KAPP",,,,,,,,,2,,1,,,1,,2,,4,1,2,1,,,
1325,kt89_Vartius,2020/04/19,1,"15 KATP",,,,,,,,,,,,2,,,,1,1,1,,,1,1,1,1
1325,kt89_Vartius,2020/04/19,2,"11 HA-PA",,,,,,1,,,1,,1,1,,2,3,1,2,2,,2,,15,,
1325,kt89_Vartius,2020/04/19,2,"13 Linja-autot",,,,,,,,,,,,,,,,1,,,,,,,,
1325,kt89_Vartius,2020/04/19,2,"14 KAPP",,,,,,,,,3,4,1,2,2,,,,1,2,1,2,2,1,1,
1325,kt89_Vartius,2020/04/19,2,"15 KATP",,,1,,,,,,1,1,1,,1,1,1,,1,1,,,1,2,,
