"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1434,st943_Kolari,2020/04/03,2,"14 KAPP",,,,,,,,,,,,,,,1,,,1,,,1,,,
1434,st943_Kolari,2020/04/03,2,"16 HA + PK",,,,,,,,,,,,,1,,,1,,,,,,,,
1434,st943_Kolari,2020/04/04,1,"11 HA-PA",,,,,2,1,1,2,3,3,,,1,,2,1,,,1,1,2,1,,
1434,st943_Kolari,2020/04/04,1,"13 Linja-autot",,,,1,,,,,,,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/04,1,"14 KAPP",,,2,2,1,,3,,,1,,,,,2,1,2,,1,,,,1,
1434,st943_Kolari,2020/04/04,1,"15 KATP",,,,,,,,,,,,1,,,,,,,,,,,,
1434,st943_Kolari,2020/04/04,1,"16 HA + PK",,,,,,,,,,,,,1,,,,1,,,,,,,
1434,st943_Kolari,2020/04/04,1,"17 HA + AV",,1,,,,,,,,,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/04,2,"11 HA-PA",,,,,,,1,,2,,1,,2,2,,1,2,2,4,,2,,2,
1434,st943_Kolari,2020/04/04,2,"12 KAIP",,,,,,,,,,,,,,,,,,,,,,,,1
1434,st943_Kolari,2020/04/04,2,"14 KAPP",,,,,,,,,,,,,,,,,2,,,,,,,
1434,st943_Kolari,2020/04/04,2,"16 HA + PK",,,,,,,,,,,,,,,1,,,1,,,,,,
1434,st943_Kolari,2020/04/05,1,"11 HA-PA",,,,,2,1,1,2,,1,1,,2,1,1,,1,,2,4,1,1,,
1434,st943_Kolari,2020/04/05,1,"14 KAPP",,,1,,,,,,,1,,,,,,,,1,,1,,,,
1434,st943_Kolari,2020/04/05,2,"11 HA-PA",1,,,,,,,,1,,,1,1,1,1,2,1,1,4,1,1,1,,
1434,st943_Kolari,2020/04/05,2,"14 KAPP",,,,,,,,,,1,,,,,,1,1,,,,,,,
1434,st943_Kolari,2020/04/06,1,"11 HA-PA",,,,,3,3,1,7,3,6,1,3,,3,4,1,2,1,,1,3,,,
1434,st943_Kolari,2020/04/06,1,"12 KAIP",,,,,,,,1,,,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/06,1,"14 KAPP",,,,,,,,,,,,,,,,,,1,,,,,,
1434,st943_Kolari,2020/04/06,1,"15 KATP",,,,,,,,,,,,,,,,,,,,1,1,,,1
1434,st943_Kolari,2020/04/06,1,"16 HA + PK",,,,,,1,,,,,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/06,1,"17 HA + AV",,,,,,,,,,1,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/06,2,"11 HA-PA",,,,,,2,,,2,2,1,2,,6,1,3,3,2,2,2,2,2,,
1434,st943_Kolari,2020/04/06,2,"15 KATP",,,,,,,,,,,,,,,,,,,1,,,,,
1434,st943_Kolari,2020/04/06,2,"17 HA + AV",,,,,,,,,,,,,,,,,,,1,,,,,
1434,st943_Kolari,2020/04/07,1,"11 HA-PA",,,,,1,3,2,6,2,5,1,2,2,3,1,1,1,,1,,1,1,,
1434,st943_Kolari,2020/04/07,1,"12 KAIP",,,,,,,,,,,,,,,,,,1,,,,,,
1434,st943_Kolari,2020/04/07,1,"14 KAPP",,,,1,,,,2,1,1,,2,,,1,1,,3,,1,,1,,
1434,st943_Kolari,2020/04/07,1,"15 KATP",,,,,,,,,,,,1,,,,,,,,1,,,,
1434,st943_Kolari,2020/04/07,1,"16 HA + PK",,,,,,,,,1,,,,,,1,,,,,,1,,,
1434,st943_Kolari,2020/04/07,1,"17 HA + AV",,,,,,,,,,,,,,,,,,,,,1,,,
1434,st943_Kolari,2020/04/07,2,"11 HA-PA",1,,,,,1,,,1,4,1,2,1,3,,2,5,4,4,2,3,,2,
1434,st943_Kolari,2020/04/07,2,"16 HA + PK",,,,,,,,,,,,,1,,,,,,,,,,,
1434,st943_Kolari,2020/04/08,1,"11 HA-PA",,,,,1,1,1,7,2,2,2,2,3,,2,2,1,1,,,,,,
1434,st943_Kolari,2020/04/08,1,"14 KAPP",2,,1,,,1,1,,,2,,,,,1,,,1,,1,,1,,1
1434,st943_Kolari,2020/04/08,1,"16 HA + PK",,,,,,,,,,,,1,,1,,,,,,,,,,
1434,st943_Kolari,2020/04/08,1,"17 HA + AV",,,,,,,,,,,,,,,,,,,1,,,,,
1434,st943_Kolari,2020/04/08,2,"11 HA-PA",,,,,,3,,,,3,4,1,1,,3,3,2,9,1,3,3,,1,1
1434,st943_Kolari,2020/04/08,2,"12 KAIP",,,,,,,1,,,,,,,,,,1,,,,,,,
1434,st943_Kolari,2020/04/09,1,"11 HA-PA",,,,,1,1,1,8,,5,1,1,1,2,1,1,1,2,3,2,,1,,
1434,st943_Kolari,2020/04/09,1,"12 KAIP",,,,,,,,,,,,1,,,,,,,,,,,,
1434,st943_Kolari,2020/04/09,1,"14 KAPP",,,,,,,,1,,,,,,,,,1,,,,,1,,
1434,st943_Kolari,2020/04/09,1,"15 KATP",,,,,,,1,,,1,,,1,2,,,1,,,1,,,,
1434,st943_Kolari,2020/04/09,1,"16 HA + PK",,,,,,,,,,,,,,1,,,,,,,,,,
1434,st943_Kolari,2020/04/09,1,"17 HA + AV",,,,,,,,,,1,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/09,2,"11 HA-PA",,,,,,,,,1,2,2,1,,,3,5,1,6,,2,2,,,
1434,st943_Kolari,2020/04/09,2,"12 KAIP",,,,,,,,,,1,,,1,,,,,,,,,,,
1434,st943_Kolari,2020/04/09,2,"15 KATP",,,,,,,,,,,,,,,,,,,,1,,,,
1434,st943_Kolari,2020/04/09,2,"16 HA + PK",,,,,,1,,,,,,,,1,,,,,,,,,,
1434,st943_Kolari,2020/04/09,2,"17 HA + AV",,,,,,,,,,,,,,,,,1,,,,,,,
1434,st943_Kolari,2020/04/10,1,"11 HA-PA",,,,,2,,,,,2,,,,,1,,1,2,,,,2,,
1434,st943_Kolari,2020/04/10,1,"12 KAIP",,,,,,,,,,,,1,,,,,,,,,,,,
1434,st943_Kolari,2020/04/10,1,"14 KAPP",,,,,,,,,,,,,,,1,,,,,,,,,
1434,st943_Kolari,2020/04/10,2,"11 HA-PA",,,,,,,1,,2,,,1,,,,,2,,1,,,1,,
1434,st943_Kolari,2020/04/11,1,"11 HA-PA",,,,,1,1,,,2,1,,,2,1,2,,,,,,,1,,
1434,st943_Kolari,2020/04/11,1,"12 KAIP",,,,,,,,,,,,,,,,,,,,1,,,,
1434,st943_Kolari,2020/04/11,1,"14 KAPP",,,,,,,,,1,,,,,1,1,,,,,,,,,1
1434,st943_Kolari,2020/04/11,1,"16 HA + PK",,,,,,,,,,,,,,,,,,,1,,,,,
1434,st943_Kolari,2020/04/11,2,"11 HA-PA",,,,,,,1,,,2,,,,1,,2,1,1,1,,,,1,
1434,st943_Kolari,2020/04/11,2,"16 HA + PK",,,,,,,,,,,,,1,,,,,,,,,,,
1434,st943_Kolari,2020/04/12,1,"11 HA-PA",,,,,2,,,,,1,1,,1,,1,,1,3,2,,,2,,
1434,st943_Kolari,2020/04/12,1,"12 KAIP",,,,,,,,,,,,,,,1,,,,,,1,,,
1434,st943_Kolari,2020/04/12,1,"14 KAPP",,,,,,,1,,,,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/12,2,"11 HA-PA",,,,,,,1,,1,,,1,,,,1,1,2,1,,,2,1,
1434,st943_Kolari,2020/04/12,2,"12 KAIP",,,,,,,,,,,,,,,,,,,,,2,,,
1434,st943_Kolari,2020/04/13,1,"11 HA-PA",,,,,2,1,,,1,2,,,1,1,5,,,3,1,1,,3,,
1434,st943_Kolari,2020/04/13,1,"14 KAPP",,,,,,,,,,,,1,,,,,1,,,,,,,
1434,st943_Kolari,2020/04/13,1,"16 HA + PK",,,,,,,,,,,,,,,,,1,,,,,,,
1434,st943_Kolari,2020/04/13,1,"17 HA + AV",,,,,,,,,,,,,,,,,,,,,,,1,
1434,st943_Kolari,2020/04/13,2,"11 HA-PA",,,,,,,,,2,,,,,1,1,4,3,1,,,1,,1,
1434,st943_Kolari,2020/04/13,2,"12 KAIP",,,,,,,1,,,,,,,,,,1,,,,,,,
1434,st943_Kolari,2020/04/14,1,"11 HA-PA",,1,,,1,2,1,6,2,2,1,3,1,,4,,,,,,1,2,,
1434,st943_Kolari,2020/04/14,1,"12 KAIP",,,,,,,,,1,,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/14,1,"14 KAPP",,,,,,,,,,,,,,,1,,,,,,,,,
1434,st943_Kolari,2020/04/14,2,"11 HA-PA",,,,,,,,,1,,,3,,,2,1,,4,1,1,3,,1,
1434,st943_Kolari,2020/04/14,2,"12 KAIP",,,,,,,,,,,,,,,,,1,,,,,,,
1434,st943_Kolari,2020/04/15,1,"11 HA-PA",,,,,,,2,8,2,,1,1,4,1,3,,1,1,1,1,1,,,1
1434,st943_Kolari,2020/04/15,1,"12 KAIP",,,,,,,,,,,,,,,,,,,,1,,,,
1434,st943_Kolari,2020/04/15,1,"14 KAPP",1,,,,,,,,,,,,,,1,1,1,1,,2,,,1,
1434,st943_Kolari,2020/04/15,1,"15 KATP",,,,,,,,,,,,,,,,1,,,,,1,1,,
1434,st943_Kolari,2020/04/15,1,"16 HA + PK",,,,,,,,,,,,,,,,,,,,1,,,,
1434,st943_Kolari,2020/04/15,1,"17 HA + AV",,,,,,,,1,,,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/15,2,"11 HA-PA",,2,,,,2,,,1,,1,,1,2,,2,2,6,2,2,1,1,,
1434,st943_Kolari,2020/04/15,2,"12 KAIP",,,,,,,,1,,,,,,,,1,,,,,,,,
1434,st943_Kolari,2020/04/16,1,"11 HA-PA",,,,,,,1,6,3,1,,2,2,,3,,,1,,2,1,,,
1434,st943_Kolari,2020/04/16,1,"12 KAIP",,,,,,,,1,,,,,,,,,,,,,,,1,
1434,st943_Kolari,2020/04/16,1,"14 KAPP",1,1,,,,,,,,,,,,,,,,,,,,1,,1
1434,st943_Kolari,2020/04/16,1,"15 KATP",,,,,1,,,,1,,,,1,,,,,1,,,,,,
1434,st943_Kolari,2020/04/16,1,"17 HA + AV",,,,,,,,,,,,,,,1,,,,,,,,,
1434,st943_Kolari,2020/04/16,2,"11 HA-PA",,2,,,,1,1,1,,,,3,1,,1,2,4,4,1,3,1,,,1
1434,st943_Kolari,2020/04/16,2,"12 KAIP",,,,,,,,1,,,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/16,2,"14 KAPP",,,,,,,,,,,,,,,,,,,,,,1,,
1434,st943_Kolari,2020/04/17,1,"11 HA-PA",,,,,,,3,6,2,2,2,,3,1,3,4,,,1,,,1,,
1434,st943_Kolari,2020/04/17,1,"12 KAIP",,,,,,,1,1,,,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/17,1,"14 KAPP",,,2,,,,,,,,,1,,,,1,,,1,1,,1,,2
1434,st943_Kolari,2020/04/17,1,"15 KATP",,1,,,,,,1,,,,,,,,,,,,,,,,1
1434,st943_Kolari,2020/04/17,1,"16 HA + PK",,1,,,,,,,,1,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/17,1,"17 HA + AV",,,,,,,,,,,,,,,,,,1,,,,,,
1434,st943_Kolari,2020/04/17,2,"11 HA-PA",1,1,,,,1,,,1,3,,,1,,2,2,1,10,1,4,,1,2,
1434,st943_Kolari,2020/04/17,2,"14 KAPP",,,,,,,,1,,1,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/18,1,"11 HA-PA",,,,,,,2,,3,,,,,3,1,,,1,1,,,1,,
1434,st943_Kolari,2020/04/18,1,"12 KAIP",1,,,,,,,,,,,,1,,,,,,,,,,,
1434,st943_Kolari,2020/04/18,1,"13 Linja-autot",1,,,,,,,,,,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/18,1,"14 KAPP",,1,1,,,,,1,,,,,1,,,,2,,,,,,,
1434,st943_Kolari,2020/04/18,1,"15 KATP",,,,,,,,,1,,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/18,1,"16 HA + PK",,1,,,,,,,,1,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/18,1,"17 HA + AV",,,,,1,,,,,,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/18,2,"11 HA-PA",,2,,,,,,,,,1,2,1,,,,1,,3,,,,1,
1434,st943_Kolari,2020/04/18,2,"12 KAIP",,,,,,,,,,,,,,,,,,,,,,,1,
1434,st943_Kolari,2020/04/18,2,"14 KAPP",,,,,,,,,,,,,,,1,,,,,,,,,
1434,st943_Kolari,2020/04/19,1,"11 HA-PA",,,,,,,2,1,,2,1,,2,3,1,,1,,3,1,1,2,,
1434,st943_Kolari,2020/04/19,1,"14 KAPP",,,,1,,,,,,,,,,1,,,,,,,,1,,
1434,st943_Kolari,2020/04/19,1,"15 KATP",,,,,,,,,,,,1,,,,,,,,,,,,
1434,st943_Kolari,2020/04/19,1,"17 HA + AV",,,,,,,,,,,,,,1,,,,,,,,,,
1434,st943_Kolari,2020/04/19,2,"11 HA-PA",,2,,,,,,,,1,,3,1,1,1,,,2,4,1,,,,
1434,st943_Kolari,2020/04/19,2,"14 KAPP",,,,,,,,,,,,,,1,,,1,,,,,,,
1434,st943_Kolari,2020/04/20,1,"11 HA-PA",,,,,2,1,2,13,2,2,,1,,2,2,,3,1,,,,3,,
1434,st943_Kolari,2020/04/20,1,"12 KAIP",,,,,,,,,1,,,,,,,,,1,,,,,,
1434,st943_Kolari,2020/04/20,1,"13 Linja-autot",,1,,,,,,,,,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/20,1,"14 KAPP",,,,,,,,,,,,,1,,,,1,,,1,1,1,1,
1434,st943_Kolari,2020/04/20,1,"15 KATP",,,,,,,,,,,,,,,,,,,,,1,,,
1434,st943_Kolari,2020/04/20,1,"16 HA + PK",,,,,,,,,1,,,1,,,,,,,,,,,,
1434,st943_Kolari,2020/04/20,2,"11 HA-PA",,2,,,,1,,,,2,1,,1,2,1,2,2,6,1,1,,1,1,
1434,st943_Kolari,2020/04/20,2,"12 KAIP",,,,,,,,,,,,,,,,,1,,,,,,,
1434,st943_Kolari,2020/04/20,2,"16 HA + PK",,,,,,,,,,1,1,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/20,2,"17 HA + AV",,,,,,,,,,,,,,,,,1,,,,,,,
1434,st943_Kolari,2020/04/21,1,"11 HA-PA",,,,,,,,9,,2,,1,1,4,7,,3,,1,2,,1,1,
1434,st943_Kolari,2020/04/21,1,"12 KAIP",,,,,,,,,,1,,,,,,,,2,2,,,,,
1434,st943_Kolari,2020/04/21,1,"13 Linja-autot",,,,,,,,,1,,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/21,1,"14 KAPP",,,,1,,,,1,,,,1,,1,,,1,4,,,1,1,1,2
1434,st943_Kolari,2020/04/21,1,"15 KATP",,,,,,,,,,,,,,,,,,,,2,,,,
1434,st943_Kolari,2020/04/21,1,"16 HA + PK",,,,,,,,,,1,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/21,1,"17 HA + AV",,,,,,,,,,,,,,,,,,1,,,,,,
1434,st943_Kolari,2020/04/21,2,"11 HA-PA",,2,,,,1,,,2,1,2,2,,2,1,4,2,2,1,1,,3,,1
1434,st943_Kolari,2020/04/21,2,"12 KAIP",,,,,,,,,1,,1,,,,,,,,,,,2,,
1434,st943_Kolari,2020/04/21,2,"14 KAPP",,,,,,,,,,,1,,,,,,,1,,,,,,
1434,st943_Kolari,2020/04/22,1,"11 HA-PA",,,,,,,2,3,3,2,,4,2,,4,,1,,,1,1,1,,
1434,st943_Kolari,2020/04/22,1,"12 KAIP",,,,,,,,1,1,,1,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/22,1,"13 Linja-autot",,,,,,,,,,,,,,,,,,,,,,,,1
1434,st943_Kolari,2020/04/22,1,"14 KAPP",1,,2,,1,,1,,,,,,,,1,1,1,1,,2,,1,1,
1434,st943_Kolari,2020/04/22,1,"15 KATP",,,,,,,,,,,,1,,,,,,,,,,,,
1434,st943_Kolari,2020/04/22,1,"16 HA + PK",,,,,,,,,,1,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/22,2,"11 HA-PA",,1,,,,2,,1,2,2,1,2,2,,1,2,2,4,,3,4,,1,
1434,st943_Kolari,2020/04/22,2,"12 KAIP",,,,,,,,1,1,,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/22,2,"14 KAPP",,,,,,,,,1,,,,,,,1,,,,,,,,
1434,st943_Kolari,2020/04/22,2,"16 HA + PK",,,,,,,,1,,,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/23,1,"11 HA-PA",,,,,,1,2,10,2,3,,1,1,1,3,,1,,1,,,1,,
1434,st943_Kolari,2020/04/23,1,"12 KAIP",,1,,,,,,,,,,,,,,,,,,,1,,,1
1434,st943_Kolari,2020/04/23,1,"13 Linja-autot",,,,,,,,,,,1,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/23,1,"14 KAPP",,1,,,,,1,,1,,,,,1,,,,2,2,,,1,1,1
1434,st943_Kolari,2020/04/23,1,"15 KATP",,,,,,,1,,,,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/23,1,"17 HA + AV",,,,,,,,,,,,,,,,,1,,,,,,,
1434,st943_Kolari,2020/04/23,2,"11 HA-PA",,1,,,,2,,,2,1,1,1,,2,1,6,4,5,1,3,4,,2,1
1434,st943_Kolari,2020/04/23,2,"12 KAIP",,,,,,,,,,,,,,,,1,,1,,,,,,
1434,st943_Kolari,2020/04/23,2,"16 HA + PK",,,,,,,,,,,,,,,,,,,,,1,,,
1434,st943_Kolari,2020/04/24,1,"11 HA-PA",,,,,,1,2,12,1,5,,1,1,1,4,,3,1,,,1,1,,
1434,st943_Kolari,2020/04/24,1,"12 KAIP",,,,,,,,,1,,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/24,1,"13 Linja-autot",,,,,,,,,,,,,,,,,,,,,,,,1
1434,st943_Kolari,2020/04/24,1,"14 KAPP",1,,,,,,,1,,,,,,,,,,2,,,,,1,2
1434,st943_Kolari,2020/04/24,1,"16 HA + PK",,,,,,,,,,,,,,,1,,,,,,,,,
1434,st943_Kolari,2020/04/24,1,"17 HA + AV",,,,,,,1,,,,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/24,2,"11 HA-PA",,2,1,,,1,,,3,,,,3,1,4,1,2,5,5,2,1,1,,
1434,st943_Kolari,2020/04/24,2,"12 KAIP",,,,,,,,1,1,,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/24,2,"14 KAPP",,,,,,,,,,,,,,,,,,1,,,,,,
1434,st943_Kolari,2020/04/24,2,"16 HA + PK",,,,,,,,,,,,,,1,,,1,,,,,,,
1434,st943_Kolari,2020/04/25,1,"11 HA-PA",,,,,,,,,2,2,,,2,,3,,,2,,,1,1,1,
1434,st943_Kolari,2020/04/25,1,"12 KAIP",,,,,,,,,,,,,,1,,,,,,,,,,
1434,st943_Kolari,2020/04/25,1,"13 Linja-autot",,1,,,,,,,,,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/25,1,"14 KAPP",,,1,,1,,,,,,1,,,,,1,,,,,,,,
1434,st943_Kolari,2020/04/25,1,"16 HA + PK",,,,,,,,,1,,,,1,,,,,,,,,,,
1434,st943_Kolari,2020/04/25,2,"11 HA-PA",,1,,,,,,1,1,1,1,,2,,,,2,1,2,1,1,,1,
1434,st943_Kolari,2020/04/25,2,"16 HA + PK",,,,,,,,,,,,1,,,,,,,,,,,,
1434,st943_Kolari,2020/04/26,1,"11 HA-PA",,,,,,,,2,1,,1,1,,,2,1,6,1,2,2,1,1,,1
1434,st943_Kolari,2020/04/26,1,"12 KAIP",,,,,1,,,,,,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/26,1,"14 KAPP",,,,1,,,,,,1,2,,,,,,,2,1,,1,,,
1434,st943_Kolari,2020/04/26,2,"11 HA-PA",,1,,,,,,1,1,1,,,1,,1,1,1,2,1,1,2,,2,
1434,st943_Kolari,2020/04/26,2,"14 KAPP",,,,,,,,,,,,,,,,1,,1,,,,,,
1434,st943_Kolari,2020/04/27,1,"11 HA-PA",,,,,2,,2,6,4,2,1,2,3,1,1,,3,2,,,1,1,1,
1434,st943_Kolari,2020/04/27,1,"12 KAIP",,,,,,,,1,1,,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/27,1,"14 KAPP",,,,,,,,,,,,,,,,,2,1,1,,,2,2,
1434,st943_Kolari,2020/04/27,1,"15 KATP",,,,,,,,,,,,,,,,,,,,,,2,,
1434,st943_Kolari,2020/04/27,1,"16 HA + PK",,,,,,,,,,1,,1,,1,,,,,1,,,,,
1434,st943_Kolari,2020/04/27,2,"11 HA-PA",,1,,,,1,,,3,2,1,,,3,1,1,2,4,3,2,1,1,1,
1434,st943_Kolari,2020/04/27,2,"12 KAIP",,,,,,,,1,1,,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/27,2,"16 HA + PK",,,,,,,,,,,,,,1,1,,,,,,,,,
1434,st943_Kolari,2020/04/28,1,"11 HA-PA",,,,,1,,1,11,2,3,,1,,2,2,,2,,,2,1,1,,
1434,st943_Kolari,2020/04/28,1,"12 KAIP",,,,,,,,,,,,,,,,,,,,,1,,,
1434,st943_Kolari,2020/04/28,1,"14 KAPP",,1,,1,,,,,1,,,,,,,,,,2,,,,,
1434,st943_Kolari,2020/04/28,1,"15 KATP",,,,,,,,1,,,,,,,,,,,,1,,,,
1434,st943_Kolari,2020/04/28,1,"17 HA + AV",,,,,,,,,1,,,,,1,,,,,,,,,,
1434,st943_Kolari,2020/04/28,2,"11 HA-PA",,4,,,,1,1,,3,2,1,1,,,,1,3,7,2,4,2,,,1
1434,st943_Kolari,2020/04/28,2,"12 KAIP",,,,,,,,,,,,1,,,,,,,,,,,,
1434,st943_Kolari,2020/04/28,2,"14 KAPP",,,,,,,,,,,,,,,,,,,,,,1,,
1434,st943_Kolari,2020/04/28,2,"16 HA + PK",,,,,,,,,,,,,,,,,,,,1,,,,
1434,st943_Kolari,2020/04/29,1,"11 HA-PA",,,,,2,,4,8,1,2,3,,,3,2,,,,2,1,1,1,,
1434,st943_Kolari,2020/04/29,1,"12 KAIP",,,,,,,,1,1,,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/29,1,"14 KAPP",1,1,,,,,,,1,,,,,,,1,3,1,2,,1,,1,
1434,st943_Kolari,2020/04/29,1,"15 KATP",,,,,,,,,,,,,,,,,,,,,,,1,
1434,st943_Kolari,2020/04/29,1,"16 HA + PK",,,,,,,,,,,,,,,2,,,,,,,,,
1434,st943_Kolari,2020/04/29,1,"17 HA + AV",,,,,,,,,1,,,,,,,1,,1,1,,,,,
1434,st943_Kolari,2020/04/29,2,"11 HA-PA",,,,,,2,1,,1,,2,,,,2,1,6,6,5,5,1,,,
1434,st943_Kolari,2020/04/29,2,"12 KAIP",,,,,,,,1,1,,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/29,2,"17 HA + AV",,,,,,,,,,,,,,,,,,1,,,,,,
1434,st943_Kolari,2020/04/30,1,"11 HA-PA",,,,,2,,2,4,3,4,,1,1,,5,2,,,,2,1,5,,
1434,st943_Kolari,2020/04/30,1,"12 KAIP",,,,,,,,,1,,,,,,,1,,,,,,,,
1434,st943_Kolari,2020/04/30,1,"14 KAPP",,1,1,,,,,1,,2,1,2,,,,,,,1,2,1,2,1,2
1434,st943_Kolari,2020/04/30,1,"16 HA + PK",,,,,,,,,,1,,,,,,,,,,,,,,
1434,st943_Kolari,2020/04/30,1,"17 HA + AV",,1,,,,,,,,,,,,,,,,,,,,,,1
1434,st943_Kolari,2020/04/30,2,"11 HA-PA",,,,,,1,,,,3,2,2,2,1,5,5,2,4,3,2,,1,1,1
1434,st943_Kolari,2020/04/30,2,"12 KAIP",,,,,,,,,1,,,,,,,,1,,,,,,,
