"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1433,st937_Pello,2020/03/05,1,"14 KAPP",,,,,,,1,,,,,,1,,,,,,,,,,,1
1433,st937_Pello,2020/03/05,1,"15 KATP",,,,,,,,1,1,,,,,1,,,,,1,,,,,
1433,st937_Pello,2020/03/05,1,"16 HA + PK",,,,,,,,,,,3,1,2,1,1,1,,,,,,,1,
1433,st937_Pello,2020/03/05,1,"17 HA + AV",,,,,,,,,,,1,,,,,,,,,,,,,
1433,st937_Pello,2020/03/05,2,"11 HA-PA",,,,1,1,1,3,4,8,18,27,42,61,44,50,46,52,38,36,23,7,7,1,2
1433,st937_Pello,2020/03/05,2,"12 KAIP",,,,,,,,,,1,,,,,1,1,,,2,,,,,
1433,st937_Pello,2020/03/05,2,"13 Linja-autot",,,,,,,,,1,,1,,,,,,,,,,,,,
1433,st937_Pello,2020/03/05,2,"14 KAPP",,,,,,,,,,,,,,,,,1,,,,,,,1
1433,st937_Pello,2020/03/05,2,"15 KATP",,,1,,,,1,1,,,,,,,,,2,,,1,,,,
1433,st937_Pello,2020/03/05,2,"16 HA + PK",,,,,,,,,1,,1,2,1,1,,1,,,2,,,,,
1433,st937_Pello,2020/03/05,2,"17 HA + AV",,,,,,,,,,,1,,,1,,,,,1,,,,,
1433,st937_Pello,2020/03/06,1,"11 HA-PA",2,,1,1,3,1,3,5,4,29,50,81,60,57,61,65,57,61,41,25,9,1,1,1
1433,st937_Pello,2020/03/06,1,"12 KAIP",,,,1,,,1,,,,1,1,1,,,1,,1,,,,,,
1433,st937_Pello,2020/03/06,1,"13 Linja-autot",,,,,,,,,,,,,,,,,,1,,,,,,
